battery_level,altitude,velocity,gps_signal,obstacle_distance,decision,timestamp
100.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:52:47.537048
100.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:52:47.571509
62.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:52:53.914199
35.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:52:54.787418
22.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:52:56.039392
12.0,50.0,12.0,9,25.0,RETURN_HOME,2026-03-09 16:53:02.577337
13.0,50.0,12.0,9,25.0,RETURN_HOME,2026-03-09 16:56:25.545296
15.0,50.0,12.0,9,25.0,RETURN_HOME,2026-03-09 16:56:25.570870
16.0,50.0,12.0,9,25.0,RETURN_HOME,2026-03-09 16:56:25.591263
17.0,50.0,12.0,9,25.0,RETURN_HOME,2026-03-09 16:56:25.612224
20.0,50.0,12.0,9,25.0,RETURN_HOME,2026-03-09 16:56:25.636705
22.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.658180
28.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.676189
31.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.698506
35.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.718224
39.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.740510
44.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.762820
46.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.783899
50.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.803692
51.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.823344
54.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.849067
55.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:25.869174
53.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.048949
47.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.072805
45.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.094456
39.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.118068
38.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.143381
41.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.164807
34.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.191456
33.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.212158
36.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.231155
32.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.253541
31.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.437647
30.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.488559
31.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.674259
32.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.704879
33.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.725879
35.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.751252
40.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.773476
43.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.793329
48.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.814489
51.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.836465
53.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.860783
55.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.885276
57.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.920967
58.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.953005
59.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.977174
60.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:26.997046
61.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:27.017604
62.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:27.038520
63.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:27.060010
64.0,50.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:27.079966
64.0,296.0,12.0,9,25.0,CONTINUE,2026-03-09 16:56:28.120986
64.0,296.0,36.0,9,25.0,CONTINUE,2026-03-09 16:56:29.140783
64.0,296.0,36.0,18,25.0,CONTINUE,2026-03-09 16:56:30.013453
64.0,296.0,36.0,18,9.0,CONTINUE,2026-03-09 16:56:30.849474
64.0,296.0,87.0,18,9.0,CONTINUE,2026-03-09 16:56:31.927349
64.0,296.0,87.0,93,9.0,CONTINUE,2026-03-09 16:56:32.820499
64.0,296.0,87.0,16,9.0,CONTINUE,2026-03-09 16:56:34.083324
22.0,296.0,87.0,16,9.0,CONTINUE,2026-03-09 16:56:35.276156
10.0,296.0,87.0,16,9.0,RETURN_HOME,2026-03-09 16:56:36.079472
10.0,296.0,24.0,16,9.0,RETURN_HOME,2026-03-09 16:56:39.283184
10.0,415.0,24.0,16,9.0,RETURN_HOME,2026-03-09 16:56:41.585141
10.0,415.0,77.0,16,9.0,RETURN_HOME,2026-03-09 16:56:42.343119
10.0,415.0,77.0,16,85.0,RETURN_HOME,2026-03-09 16:56:44.757736
10.0,38.0,77.0,16,85.0,RETURN_HOME,2026-03-09 16:56:46.567511
10.0,38.0,6.0,16,85.0,RETURN_HOME,2026-03-09 16:56:47.783235
10.0,38.0,7.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.079339
10.0,38.0,11.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.107674
10.0,38.0,16.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.128693
10.0,38.0,21.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.153910
10.0,38.0,25.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.180894
10.0,38.0,28.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.203320
10.0,38.0,32.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.229765
10.0,38.0,36.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.253928
10.0,38.0,39.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.276588
10.0,38.0,42.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.302270
10.0,38.0,44.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.326801
10.0,38.0,48.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.347491
10.0,38.0,49.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.370491
10.0,38.0,46.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.390457
10.0,38.0,50.0,16,85.0,RETURN_HOME,2026-03-09 16:56:48.429232
10.0,38.0,50.0,50,85.0,RETURN_HOME,2026-03-09 16:56:48.592645
10.0,38.0,50.0,50,36.0,RETURN_HOME,2026-03-09 16:56:49.408565
10.0,38.0,50.0,50,11.0,RETURN_HOME,2026-03-09 16:56:50.123290
10.0,177.0,50.0,50,11.0,RETURN_HOME,2026-03-09 16:56:51.088285
10.0,177.0,81.0,50,11.0,RETURN_HOME,2026-03-09 16:56:52.589736
10.0,177.0,81.0,50,88.0,RETURN_HOME,2026-03-09 16:56:54.258194
10.0,177.0,17.0,50,88.0,RETURN_HOME,2026-03-09 16:56:55.293928
53.0,177.0,17.0,50,88.0,CONTINUE,2026-03-09 16:56:56.466442
53.0,373.0,17.0,50,88.0,CONTINUE,2026-03-09 16:56:57.314164
83.0,373.0,17.0,50,88.0,CONTINUE,2026-03-09 16:56:58.285231
70.0,373.0,17.0,50,88.0,CONTINUE,2026-03-09 16:56:59.224469
70.0,221.0,17.0,50,88.0,CONTINUE,2026-03-09 16:57:00.041714
70.0,131.0,17.0,50,88.0,CONTINUE,2026-03-09 16:57:00.778566
70.0,131.0,32.0,50,88.0,CONTINUE,2026-03-09 16:57:02.391547
70.0,131.0,74.0,50,88.0,CONTINUE,2026-03-09 16:57:03.110908
70.0,131.0,74.0,81,88.0,CONTINUE,2026-03-09 16:57:03.946149
70.0,131.0,74.0,20,88.0,CONTINUE,2026-03-09 16:57:04.844023
70.0,131.0,74.0,20,20.0,CONTINUE,2026-03-09 16:57:05.815757
70.0,242.0,74.0,20,20.0,CONTINUE,2026-03-09 16:57:06.976092
70.0,242.0,74.0,73,20.0,CONTINUE,2026-03-09 16:57:22.449629
70.0,242.0,12.0,73,20.0,CONTINUE,2026-03-09 16:57:24.130304
70.0,242.0,12.0,8,20.0,CONTINUE,2026-03-09 16:57:24.941076
70.0,242.0,12.0,8,91.0,CONTINUE,2026-03-09 16:57:25.922786
90.0,242.0,12.0,8,91.0,CONTINUE,2026-03-09 16:57:27.636828
5.0,242.0,12.0,8,91.0,RETURN_HOME,2026-03-09 16:57:28.534749
5.0,72.0,12.0,8,91.0,RETURN_HOME,2026-03-09 16:57:29.661723
5.0,310.0,12.0,8,91.0,RETURN_HOME,2026-03-09 16:57:30.731788
5.0,310.0,77.0,8,91.0,RETURN_HOME,2026-03-09 16:57:32.823081
5.0,310.0,77.0,78,91.0,RETURN_HOME,2026-03-09 16:57:33.916905
5.0,310.0,10.0,78,91.0,RETURN_HOME,2026-03-09 16:57:35.141347
5.0,41.0,10.0,78,91.0,RETURN_HOME,2026-03-09 16:57:36.302586
5.0,41.0,10.0,12,91.0,RETURN_HOME,2026-03-09 16:57:37.446817
5.0,41.0,10.0,12,16.0,RETURN_HOME,2026-03-09 16:57:38.457131
5.0,41.0,61.0,12,16.0,RETURN_HOME,2026-03-09 16:57:39.657629
5.0,346.0,61.0,12,16.0,RETURN_HOME,2026-03-09 16:57:40.571222
5.0,346.0,61.0,83,16.0,RETURN_HOME,2026-03-09 16:57:42.191201
83.0,346.0,61.0,83,16.0,CONTINUE,2026-03-09 16:57:44.023110
83.0,346.0,83.0,83,16.0,CONTINUE,2026-03-09 16:57:45.619285
100.0,346.0,83.0,83,16.0,CONTINUE,2026-03-09 16:57:46.889758
73.0,346.0,83.0,83,16.0,CONTINUE,2026-03-09 16:57:47.726713
0.0,346.0,83.0,83,16.0,RETURN_HOME,2026-03-09 16:57:49.144473
0.0,1.0,83.0,83,16.0,RETURN_HOME,2026-03-09 16:57:51.111158
0.0,1.0,0.0,83,16.0,RETURN_HOME,2026-03-09 16:57:52.511046
0.0,1.0,0.0,0,16.0,RETURN_HOME,2026-03-09 16:57:53.847576
0.0,1.0,0.0,0,0.0,RETURN_HOME,2026-03-09 16:57:55.029037
0.0,1.0,0.0,96,0.0,RETURN_HOME,2026-03-09 16:57:57.120087
0.0,1.0,89.0,96,0.0,RETURN_HOME,2026-03-09 16:57:58.140941
0.0,474.0,89.0,96,0.0,RETURN_HOME,2026-03-09 16:57:58.958436
89.0,474.0,89.0,96,0.0,HOLD,2026-03-09 16:57:59.712841
89.0,474.0,89.0,96,95.0,CONTINUE,2026-03-09 16:58:00.800823
89.0,474.0,89.0,96,83.0,CONTINUE,2026-03-09 16:58:03.566987
89.0,474.0,89.0,96,25.0,CONTINUE,2026-03-09 16:58:04.660348
89.0,474.0,89.0,96,9.0,CONTINUE,2026-03-09 16:58:05.546438
89.0,474.0,89.0,96,93.0,CONTINUE,2026-03-09 16:58:07.721462
89.0,474.0,89.0,82,93.0,CONTINUE,2026-03-09 16:58:08.554098
89.0,474.0,89.0,3,93.0,CONTINUE,2026-03-09 16:58:09.828686
89.0,474.0,89.0,90,93.0,CONTINUE,2026-03-09 16:58:11.252509
89.0,474.0,5.0,90,93.0,CONTINUE,2026-03-09 16:58:12.359230
89.0,474.0,92.0,90,93.0,CONTINUE,2026-03-09 16:58:13.346891
89.0,26.0,92.0,90,93.0,CONTINUE,2026-03-09 16:58:14.452884
89.0,464.0,92.0,90,93.0,CONTINUE,2026-03-09 16:58:15.634277
3.0,464.0,92.0,90,93.0,RETURN_HOME,2026-03-09 16:58:16.869386
93.0,464.0,92.0,90,93.0,CONTINUE,2026-03-09 16:58:18.007172
93.0,464.0,5.0,90,93.0,CONTINUE,2026-03-09 16:58:20.230002
93.0,464.0,5.0,5,93.0,CONTINUE,2026-03-09 16:58:20.989531
93.0,464.0,5.0,5,4.0,HOLD,2026-03-09 16:58:22.010735
93.0,464.0,93.0,5,4.0,HOLD,2026-03-09 16:58:24.005521
93.0,464.0,93.0,92,4.0,HOLD,2026-03-09 16:58:25.301473
93.0,464.0,93.0,24,4.0,HOLD,2026-03-09 16:58:30.893044
93.0,161.0,93.0,24,4.0,HOLD,2026-03-09 16:58:32.479461
23.0,161.0,93.0,24,4.0,HOLD,2026-03-09 16:58:33.485341
